plant_part_name,ferc_acct,utility_id_pudl,plant_id_pudl,utility_name_ferc1,row_literal,utility_id_ferc1,report_year,spplmnt_num,row_number,row_seq,row_prvlg,acct_num,plant_balance,total_life_avg,net_salvage_rate,depreciation_annual_rate,survivor_curve_type,remaining_life_avg,common
Mountaineer SCR,312,29,399,Appalachian Power Company,Line 26,6,2018,0,26,26,,312 - Mountaineer SCR,18740,0,0,0,,0,
Amos U1&2,314,29,,Appalachian Power Company,Line 27,6,2018,0,27,27,,314 - Amos U1&2,125402,0,0,0,,0,
Amos U3,314,29,16,Appalachian Power Company,Line 28,6,2018,0,28,28,,314 - Amos U3,158688,0,0,0,,0,
Clinch River,314,29,114,Appalachian Power Company,Line 29,6,2018,0,29,29,,314 - Clinch River,40613,0,0,0,,0,
Mountaineer,314,29,399,Appalachian Power Company,Line 30,6,2018,0,30,30,,314 - Mountaineer,100748,0,0,0,,0,
Amos U1&2,315,29,,Appalachian Power Company,Line 31,6,2018,0,31,31,,315 - Amos U1&2,55712,0,0,0,,0,
Amos U3,315,29,16,Appalachian Power Company,Line 32,6,2018,0,32,32,,315 - Amos U3,34941,0,0,0,,0,
Clinch River,315,29,114,Appalachian Power Company,Line 33,6,2018,0,33,33,,315 - Clinch River,10751,0,0,0,,0,
Little Broad Mtn,315,29,,Appalachian Power Company,Line 34,6,2018,0,34,34,,315 - Little Broad Mtn,65,0,0,0,,0,
Mountaineer,315,29,399,Appalachian Power Company,Line 35,6,2018,0,35,35,,315 - Mountaineer,76582,0,0,0,,0,
Amos U1&2,316,29,16,Appalachian Power Company,Line 36,6,2018,0,36,36,,316 - Amos U1&2,5112,0,0,0,,0,
Amos U3,316,29,16,Appalachian Power Company,Line 37,6,2018,0,37,37,,316 - Amos U3,28296,0,0,0,,0,
Centrl Mach Shop,316,29,,Appalachian Power Company,Line 38,6,2018,0,38,38,,316 - Centrl Mach Shop,17254,0,0,0,,0,
Clinch River,316,29,114,Appalachian Power Company,Line 39,6,2018,0,39,39,,316 - Clinch River,6159,0,0,0,,0,
Mountaineer,316,29,399,Appalachian Power Company,Line 40,6,2018,0,40,40,,316 - Mountaineer,21853,0,0,0,,0,
TOTAL STEAM,316,29,16,Appalachian Power Company,Line 41,6,2018,0,41,41,,TOTAL STEAM,5417918,0,0,0,,0,
HYDRO,0,29,,Appalachian Power Company,Line 43,6,2018,0,43,43,,HYDRO,,0,0,0,,0,
Buck Hydro,331,29,,Appalachian Power Company,Line 44,6,2018,0,44,44,,331 - Buck Hydro,370,0,0,0,,0,
Byllesby Hydro,331,29,88,Appalachian Power Company,Line 45,6,2018,0,45,45,,331 - Byllesby Hydro,1216,0,0,0,,0,
Claytor Hydro,331,29,867,Appalachian Power Company,Line 46,6,2018,0,46,46,,331 - Claytor Hydro,2780,0,0,0,,0,
Leesville Hydro,331,29,869,Appalachian Power Company,Line 47,6,2018,0,47,47,,331 - Leesville Hydro,3652,0,0,0,,0,
London Hydro,331,29,866,Appalachian Power Company,Line 48,6,2018,0,48,48,,331 - London Hydro,617,0,0,0,,0,
Marmet Hydro,331,29,868,Appalachian Power Company,Line 49,6,2018,0,49,49,,331 - Marmet Hydro,705,0,0,0,,0,
Niagara Hydro,331,29,,Appalachian Power Company,Line 50,6,2018,0,50,50,,331 - Niagara Hydro,678,0,0,0,,0,
Winfield Hydro,331,29,865,Appalachian Power Company,Line 12,6,2018,1,12,12,,331 - Winfield Hydro,2754,0,0,0,,0,
Buck Hydro,332,29,,Appalachian Power Company,Line 13,6,2018,1,13,13,,332 - Buck Hydro,7106,0,0,0,,0,
Byllesby Hydro,332,29,88,Appalachian Power Company,Line 14,6,2018,1,14,14,,332 - Byllesby Hydro,6232,0,0,0,,0,
Claytor Hydro,332,29,867,Appalachian Power Company,Line 15,6,2018,1,15,15,,332 - Claytor Hydro,12621,0,0,0,,0,
Leesville Hydro,332,29,869,Appalachian Power Company,Line 16,6,2018,1,16,16,,332 - Leesville Hydro,11059,0,0,0,,0,
London Hydro,332,29,866,Appalachian Power Company,Line 17,6,2018,1,17,17,,332 - London Hydro,1377,0,0,0,,0,
Marmet Hydro,332,29,868,Appalachian Power Company,Line 18,6,2018,1,18,18,,332 - Marmet Hydro,1877,0,0,0,,0,
Niagara Hydro,332,29,,Appalachian Power Company,Line 19,6,2018,1,19,19,,332 - Niagara Hydro,6432,0,0,0,,0,
Winfield Hydro,332,29,865,Appalachian Power Company,Line 20,6,2018,1,20,20,,332 - Winfield Hydro,2227,0,0,0,,0,
Buck Hydro,333,29,,Appalachian Power Company,Line 21,6,2018,1,21,21,,333 - Buck Hydro,1937,0,0,0,,0,
Byllesby Hydro,333,29,88,Appalachian Power Company,Line 22,6,2018,1,22,22,,333 - Byllesby Hydro,3638,0,0,0,,0,
Claytor Hydro,333,29,867,Appalachian Power Company,Line 23,6,2018,1,23,23,,333 - Claytor Hydro,3152,0,0,0,,0,
Leesville Hydro,333,29,869,Appalachian Power Company,Line 24,6,2018,1,24,24,,333 - Leesville Hydro,3764,0,0,0,,0,
London Hydro,333,29,866,Appalachian Power Company,Line 25,6,2018,1,25,25,,333 - London Hydro,5413,0,0,0,,0,
Marmet Hydro,333,29,868,Appalachian Power Company,Line 26,6,2018,1,26,26,,333 - Marmet Hydro,6793,0,0,0,,0,
Niagara Hydro,333,29,,Appalachian Power Company,Line 27,6,2018,1,27,27,,333 - Niagara Hydro,637,0,0,0,,0,
Winfield Hydro,333,29,865,Appalachian Power Company,Line 28,6,2018,1,28,28,,333 - Winfield Hydro,6424,0,0,0,,0,
Buck Hydro,334,29,,Appalachian Power Company,Line 29,6,2018,1,29,29,,334 - Buck Hydro,2518,0,0,0,,0,
Byllesby Hydro,334,29,88,Appalachian Power Company,Line 30,6,2018,1,30,30,,334 - Byllesby Hydro,1078,0,0,0,,0,
Claytor Hydro,334,29,867,Appalachian Power Company,Line 31,6,2018,1,31,31,,334 - Claytor Hydro,3077,0,0,0,,0,
Leesville Hydro,334,29,869,Appalachian Power Company,Line 32,6,2018,1,32,32,,334 - Leesville Hydro,1510,0,0,0,,0,
London Hydro,334,29,866,Appalachian Power Company,Line 33,6,2018,1,33,33,,334 - London Hydro,1904,0,0,0,,0,
Marmet Hydro,334,29,868,Appalachian Power Company,Line 34,6,2018,1,34,34,,334 - Marmet Hydro,2191,0,0,0,,0,
Niagara Hydro,334,29,,Appalachian Power Company,Line 35,6,2018,1,35,35,,334 - Niagara Hydro,500,0,0,0,,0,
Winfield Hydro,334,29,865,Appalachian Power Company,Line 36,6,2018,1,36,36,,334 - Winfield Hydro,270,0,0,0,,0,
Buck Hydro,335,29,,Appalachian Power Company,Line 37,6,2018,1,37,37,,335 - Buck Hydro,938,0,0,0,,0,
Byllesby Hydro,335,29,88,Appalachian Power Company,Line 38,6,2018,1,38,38,,335 - Byllesby Hydro,961,0,0,0,,0,
Claytor Hydro,335,29,867,Appalachian Power Company,Line 39,6,2018,1,39,39,,335 - Claytor Hydro,2934,0,0,0,,0,
Leesville Hydro,335,29,869,Appalachian Power Company,Line 40,6,2018,1,40,40,,335 - Leesville Hydro,1940,0,0,0,,0,
London Hydro,335,29,866,Appalachian Power Company,Line 41,6,2018,1,41,41,,335 - London Hydro,483,0,0,0,,0,
Marmet Hydro,335,29,868,Appalachian Power Company,Line 42,6,2018,1,42,42,,335 - Marmet Hydro,646,0,0,0,,0,
Niagara Hydro,335,29,,Appalachian Power Company,Line 43,6,2018,1,43,43,,335 - Niagara Hydro,282,0,0,0,,0,
Winfield Hydro,335,29,865,Appalachian Power Company,Line 44,6,2018,1,44,44,,335 - Winfield Hydro,3202,0,0,0,,0,
Buck Hydro,336,29,,Appalachian Power Company,Line 45,6,2018,1,45,45,,336 - Buck Hydro,3,0,0,0,,0,
Claytor Hydro,336,29,867,Appalachian Power Company,Line 46,6,2018,1,46,46,,336 - Claytor Hydro,32,0,0,0,,0,
Leesville Hydro,336,29,869,Appalachian Power Company,Line 47,6,2018,1,47,47,,336 - Leesville Hydro,81,0,0,0,,0,
London Hydro,336,29,866,Appalachian Power Company,Line 48,6,2018,1,48,48,,336 - London Hydro,49,0,0,0,,0,
Marmet Hydro,336,29,868,Appalachian Power Company,Line 49,6,2018,1,49,49,,336 - Marmet Hydro,1,0,0,0,,0,
Winfield Hydro,336,29,865,Appalachian Power Company,Line 50,6,2018,1,50,50,,336 - Winfield Hydro,24,0,0,0,,0,
TOTAL HYDRO,336,29,16,Appalachian Power Company,Line 12,6,2018,2,12,12,,TOTAL HYDRO,118085,0,0,0,,0,
HYDRO PUMPED,0,29,,Appalachian Power Company,Line 14,6,2018,2,14,14,,HYDRO PUMPED,,0,0,0,,0,
0,331,29,,Appalachian Power Company,Line 15,6,2018,2,15,15,,331,15791,0,0,0,,0,
0,332,29,,Appalachian Power Company,Line 16,6,2018,2,16,16,,332,29698,0,0,0,,0,
0,333,29,,Appalachian Power Company,Line 17,6,2018,2,17,17,,333,73487,0,0,0,,0,
0,334,29,,Appalachian Power Company,Line 18,6,2018,2,18,18,,334,11568,0,0,0,,0,
0,335,29,,Appalachian Power Company,Line 19,6,2018,2,19,19,,335,9778,0,0,0,,0,
0,336,29,,Appalachian Power Company,Line 20,6,2018,2,20,20,,336,1052,0,0,0,,0,
TOTAL HYDRO PUMPED,336,29,8501,Appalachian Power Company,Line 21,6,2018,2,21,21,,TOTAL HYDRO PUMPED,141374,0,0,0,,0,
OTHER GENERATION,0,29,,Appalachian Power Company,Line 23,6,2018,2,23,23,,OTHER GENERATION,,0,0,0,,0,
redo Plant,341,29,,Appalachian Power Company,Line 24,6,2018,2,24,24,,341 Ceredo Plant,1652,0,0,0,,0,
esden Plant,341,29,,Appalachian Power Company,Line 25,6,2018,2,25,25,,341 Dresden Plant,46146,0,0,0,,0,
esden - VA AFUDC,341,29,,Appalachian Power Company,Line 26,6,2018,2,26,26,,341 Dresden - VA AFUDC,1628,0,0,0,,0,
esden Plant,342,29,,Appalachian Power Company,Line 27,6,2018,2,27,27,,342 Dresden Plant,26155,0,0,0,,0,
esden - VA AFUDC,342,29,,Appalachian Power Company,Line 28,6,2018,2,28,28,,342 Dresden - VA AFUDC,814,0,0,0,,0,
redo Plant,344,29,,Appalachian Power Company,Line 29,6,2018,2,29,29,,344 Ceredo Plant,181192,0,0,0,,0,
esden Plant,344,29,,Appalachian Power Company,Line 30,6,2018,2,30,30,,344 Dresden Plant,310462,0,0,0,,0,
esden - VA AFUDC,344,29,,Appalachian Power Company,Line 31,6,2018,2,31,31,,344 Dresden - VA AFUDC,11234,0,0,0,,0,
redo Plant,345,29,,Appalachian Power Company,Line 32,6,2018,2,32,32,,345 Ceredo Plant,19289,0,0,0,,0,
esden Plant,345,29,,Appalachian Power Company,Line 33,6,2018,2,33,33,,345 Dresden Plant,27703,0,0,0,,0,
esden - VA AFUDC,345,29,,Appalachian Power Company,Line 34,6,2018,2,34,34,,345 Dresden - VA AFUDC,814,0,0,0,,0,
redo Plant,346,29,,Appalachian Power Company,Line 35,6,2018,2,35,35,,346 Ceredo Plant,1248,0,0,0,,0,
esden Plant,346,29,,Appalachian Power Company,Line 36,6,2018,2,36,36,,346 Dresden Plant,28910,0,0,0,,0,
esden - VA AFUDC,346,29,,Appalachian Power Company,Line 37,6,2018,2,37,37,,346 Dresden - VA AFUDC,163,0,0,0,,0,
TOTAL OTHER,346,29,16,Appalachian Power Company,Line 38,6,2018,2,38,38,,TOTAL OTHER,657410,0,0,0,,0,
TRANSMISSION,0,29,,Appalachian Power Company,Line 40,6,2018,2,40,40,,TRANSMISSION,,0,0,0,,0,
VA (Rights),350,29,,Appalachian Power Company,Line 41,6,2018,2,41,41,,350 - VA (Rights),86881,0,0,0,,0,
0,351,29,,Appalachian Power Company,Line 42,6,2018,2,42,42,,351,3041,0,0,0,,0,
0,352,29,,Appalachian Power Company,Line 43,6,2018,2,43,43,,352,67004,0,0,0,,0,
0,353,29,,Appalachian Power Company,Line 44,6,2018,2,44,44,,353,1458890,0,0,0,,0,
esden Plant - VA,353,29,,Appalachian Power Company,Line 45,6,2018,2,45,45,,353 Dresden Plant - VA,1628,0,0,0,,0,
0,353,29,,Appalachian Power Company,Line 46,6,2018,2,46,46,,353.16,2198,0,0,0,,0,
0,354,29,,Appalachian Power Company,Line 47,6,2018,2,47,47,,354,487479,0,0,0,,0,
0,355,29,,Appalachian Power Company,Line 48,6,2018,2,48,48,,355,403002,0,0,0,,0,
0,356,29,,Appalachian Power Company,Line 49,6,2018,2,49,49,,356,615108,0,0,0,,0,
0,356,29,,Appalachian Power Company,Line 50,6,2018,2,50,50,,356.16,5041,0,0,0,,0,
0,357,29,,Appalachian Power Company,Line 12,6,2018,3,12,12,,357,603,0,0,0,,0,
0,358,29,,Appalachian Power Company,Line 13,6,2018,3,13,13,,358,7298,0,0,0,,0,
0,358,29,,Appalachian Power Company,Line 14,6,2018,3,14,14,,358.16,376,0,0,0,,0,
TOTAL TRANSMISSION,358,29,,Appalachian Power Company,Line 15,6,2018,3,15,15,,TOTAL TRANSMISSION,3138549,0,0,0,,0,
DISTRIBUTION,0,29,,Appalachian Power Company,Line 17,6,2018,3,17,17,,DISTRIBUTION,,0,0,0,,0,
VA (Rights),360,29,,Appalachian Power Company,Line 18,6,2018,3,18,18,,360 - VA (Rights),22731,0,0,0,,0,
VA,361,29,,Appalachian Power Company,Line 19,6,2018,3,19,19,,361 - VA,23662,0,0,0,,0,
WV,361,29,,Appalachian Power Company,Line 20,6,2018,3,20,20,,361 - WV,17377,0,0,0,,0,
3 - TN,361,29,,Appalachian Power Company,Line 21,6,2018,3,21,21,,361-373 - TN,47,0,0,0,,0,
VA,362,29,,Appalachian Power Company,Line 22,6,2018,3,22,22,,362 - VA,332944,0,0,0,,0,
WV,362,29,,Appalachian Power Company,Line 23,6,2018,3,23,23,,362 - WV,228226,0,0,0,,0,
 - VA,362,29,,Appalachian Power Company,Line 24,6,2018,3,24,24,,362.16 - VA,598,0,0,0,,0,
 - WV,362,29,,Appalachian Power Company,Line 25,6,2018,3,25,25,,362.16 - WV,599,0,0,0,,0,
WV,363,29,,Appalachian Power Company,Line 26,6,2018,3,26,26,,363 - WV,5403,0,0,0,,0,
VA,364,29,,Appalachian Power Company,Line 27,6,2018,3,27,27,,364 - VA,385774,0,0,0,,0,
WV,364,29,,Appalachian Power Company,Line 28,6,2018,3,28,28,,364 - WV,377439,0,0,0,,0,
VA,365,29,,Appalachian Power Company,Line 29,6,2018,3,29,29,,365 - VA,487719,0,0,0,,0,
WV,365,29,,Appalachian Power Company,Line 30,6,2018,3,30,30,,365 - WV,437971,0,0,0,,0,
VA,366,29,,Appalachian Power Company,Line 31,6,2018,3,31,31,,366 - VA,67714,0,0,0,,0,
WV,366,29,,Appalachian Power Company,Line 32,6,2018,3,32,32,,366 - WV,54166,0,0,0,,0,
VA,367,29,,Appalachian Power Company,Line 33,6,2018,3,33,33,,367 - VA,181796,0,0,0,,0,
WV,367,29,,Appalachian Power Company,Line 34,6,2018,3,34,34,,367 - WV,102107,0,0,0,,0,
VA,368,29,,Appalachian Power Company,Line 35,6,2018,3,35,35,,368 - VA,364275,0,0,0,,0,
WV,368,29,,Appalachian Power Company,Line 36,6,2018,3,36,36,,368 - WV,234445,0,0,0,,0,
VA,369,29,,Appalachian Power Company,Line 37,6,2018,3,37,37,,369 - VA,178306,0,0,0,,0,
WV,369,29,,Appalachian Power Company,Line 38,6,2018,3,38,38,,369 - WV,162162,0,0,0,,0,
VA,370,29,,Appalachian Power Company,Line 39,6,2018,3,39,39,,370 - VA,81555,0,0,0,,0,
WV,370,29,,Appalachian Power Company,Line 40,6,2018,3,40,40,,370 - WV,46272,0,0,0,,0,
 - VA,370,29,,Appalachian Power Company,Line 41,6,2018,3,41,41,,370.16 - VA,25594,0,0,0,,0,
VA,371,29,,Appalachian Power Company,Line 42,6,2018,3,42,42,,371 - VA,36429,0,0,0,,0,
WV,371,29,,Appalachian Power Company,Line 43,6,2018,3,43,43,,371 - WV,23281,0,0,0,,0,
VA,372,29,,Appalachian Power Company,Line 44,6,2018,3,44,44,,372 - VA,1,0,0,0,,0,
VA,373,29,,Appalachian Power Company,Line 45,6,2018,3,45,45,,373 - VA,19118,0,0,0,,0,
WV,373,29,,Appalachian Power Company,Line 46,6,2018,3,46,46,,373 - WV,9751,0,0,0,,0,
TOTAL DISTRIBUTION,373,29,,Appalachian Power Company,Line 47,6,2018,3,47,47,,TOTAL DISTRIBUTION,3907462,0,0,0,,0,
GENERAL PLANT,0,29,,Appalachian Power Company,Line 49,6,2018,3,49,49,,GENERAL PLANT,,0,0,0,,0,
0,390,29,,Appalachian Power Company,Line 50,6,2018,3,50,50,,390,118705,0,0,0,,0,
0,391,29,,Appalachian Power Company,Line 12,6,2018,4,12,12,,391,8897,0,0,0,,0,
0,392,29,,Appalachian Power Company,Line 13,6,2018,4,13,13,,392,9,0,0,0,,0,
0,393,29,,Appalachian Power Company,Line 14,6,2018,4,14,14,,393,1859,0,0,0,,0,
0,394,29,,Appalachian Power Company,Line 15,6,2018,4,15,15,,394,34948,0,0,0,,0,
0,395,29,,Appalachian Power Company,Line 16,6,2018,4,16,16,,395,3014,0,0,0,,0,
0,397,29,,Appalachian Power Company,Line 17,6,2018,4,17,17,,397,52040,0,0,0,,0,
0,397,29,,Appalachian Power Company,Line 18,6,2018,4,18,18,,397.12,41,0,0,0,,0,
0,397,29,,Appalachian Power Company,Line 19,6,2018,4,19,19,,397.16,2510,0,0,0,,0,
0,398,29,,Appalachian Power Company,Line 20,6,2018,4,20,20,,398,7136,0,0,0,,0,
TOTAL GENERAL PLANT,398,29,,Appalachian Power Company,Line 21,6,2018,4,21,21,,TOTAL GENERAL PLANT,229159,0,0,0,,0,
DEPRECIABLE SUM,0,29,,Appalachian Power Company,Line 23,6,2018,4,23,23,,DEPRECIABLE SUM,13609957,0,0,0,,0,
0,0,35,,Avista Corporation,Line 12,187,2018,0,12,12,,STEAM PLANT,,0,0,0,,0,
0,0,35,,Avista Corporation,Line 13,187,2018,0,13,13,,Colstrip No. 3,,0,0,0,,0,
Colstrip No. 3,311,35,122,Avista Corporation,Line 14,187,2018,0,14,14,,311,57305,70,-10,1.56,S1.5,22.1,
Colstrip No. 3,312,35,122,Avista Corporation,Line 15,187,2018,0,15,15,,312,84667,60,-10,1.93,R1,21.5,
Colstrip No. 3,313,35,122,Avista Corporation,Line 16,187,2018,0,16,16,,313,3,0,0,0,,0,
Colstrip No. 3,314,35,122,Avista Corporation,Line 17,187,2018,0,17,17,,314,23672,40,-5,2.79,R0.5,19.4,
Colstrip No. 3,315,35,122,Avista Corporation,Line 18,187,2018,0,18,18,,315,10097,50,0,1.73,R3,21,
Colstrip No. 3,316,35,122,Avista Corporation,Line 19,187,2018,0,19,19,,316,9740,53,0,1.46,R2,20.9,
0,316,35,,Avista Corporation,Line 20,187,2018,0,20,20,,Subtotal,185484,0,0,0,,0,
0,0,35,,Avista Corporation,Line 22,187,2018,0,22,22,,Colstrip No. 4,,0,0,0,,0,
Colstrip No. 4,311,35,122,Avista Corporation,Line 23,187,2018,0,23,23,,311,53528,70,-10,1.68,S1.5,23.9,
Colstrip No. 4,312,35,122,Avista Corporation,Line 24,187,2018,0,24,24,,312,58047,60,-10,2.2,R1,23.3,
Colstrip No. 4,313,35,122,Avista Corporation,Line 25,187,2018,0,25,25,,313,3,0,0,0,,0,
Colstrip No. 4,314,35,122,Avista Corporation,Line 26,187,2018,0,26,26,,314,15320,40,-5,2.88,R0.5,20.9,
Colstrip No. 4,315,35,122,Avista Corporation,Line 27,187,2018,0,27,27,,315,7142,50,0,1.88,R3,22.9,
Colstrip No. 4,316,35,122,Avista Corporation,Line 28,187,2018,0,28,28,,316,4713,53,0,1.62,R2,22.7,
0,316,35,,Avista Corporation,Line 29,187,2018,0,29,29,,Subtotal,138753,0,0,0,,0,
0,0,35,,Avista Corporation,Line 31,187,2018,0,31,31,,Kettle Falls,,0,0,0,0,0,
Kettle Falls,310,35,300,Avista Corporation,Line 32,187,2018,0,32,32,,310,148,0,0,1.45,SQ,18,
Kettle Falls,311,35,300,Avista Corporation,Line 33,187,2018,0,33,33,,311,28703,70,-10,1.51,S1.5,17.1,
Kettle Falls,312,35,300,Avista Corporation,Line 34,187,2018,0,34,34,,312,45606,60,-10,1.93,R1,16.7,
Kettle Falls,314,35,300,Avista Corporation,Line 35,187,2018,0,35,35,,314,17786,40,-5,2.12,R0.5,14.9,
Kettle Falls,315,35,300,Avista Corporation,Line 36,187,2018,0,36,36,,315,12348,50,0,1.56,R3,16.4,
Kettle Falls,316,35,300,Avista Corporation,Line 37,187,2018,0,37,37,,316,2672,53,0,1.74,R2,16.8,
0,316,35,,Avista Corporation,Line 38,187,2018,0,38,38,,Subtotal,107263,0,0,0,,0,
0,0,35,,Avista Corporation,Line 40,187,2018,0,40,40,,HYDRO PLANT,,0,0,0,,0,
0,0,35,,Avista Corporation,Line 41,187,2018,0,41,41,,Cabinet Gorge,,0,0,0,,0,
Cabinet Gorge,330,35,878,Avista Corporation,Line 42,187,2018,0,42,42,,330,9378,100,0,2,R4,43.2,
Cabinet Gorge,331,35,878,Avista Corporation,Line 43,187,2018,0,43,43,,331,16491,110,-20,1.5,R2,51.5,
Cabinet Gorge,332,35,878,Avista Corporation,Line 44,187,2018,0,44,44,,332,44778,100,0,1.13,R1,47.7,
Cabinet Gorge,333,35,878,Avista Corporation,Line 45,187,2018,0,45,45,,333,48037,65,-10,2.04,R1.5,43.9,
Cabinet Gorge,334,35,878,Avista Corporation,Line 46,187,2018,0,46,46,,334,9251,38,-5,2.97,R2.5,19.7,
Cabinet Gorge,335,35,878,Avista Corporation,Line 47,187,2018,0,47,47,,335,4594,65,0,0.38,R1.5,49.9,
Cabinet Gorge,336,35,878,Avista Corporation,Line 48,187,2018,0,48,48,,336,1671,55,0,1.96,S2,19,
0,336,35,,Avista Corporation,Line 49,187,2018,0,49,49,,Subtotal,134200,0,0,0,,0,
0,0,35,,Avista Corporation,Line 12,187,2018,1,12,12,,Noxon Rapids,,0,0,0,,0,
Noxon Rapids,330,35,879,Avista Corporation,Line 13,187,2018,1,13,13,,330,30477,100,0,1.8,R4,48.8,
Noxon Rapids,331,35,879,Avista Corporation,Line 14,187,2018,1,14,14,,331,22190,110,-20,1.48,R2,58.4,
Noxon Rapids,332,35,879,Avista Corporation,Line 15,187,2018,1,15,15,,332,35353,100,0,1.12,R1,52.6,
Noxon Rapids,333,35,879,Avista Corporation,Line 16,187,2018,1,16,16,,333,88683,65,-10,1.98,R1.5,47.5,
Noxon Rapids,334,35,879,Avista Corporation,Line 17,187,2018,1,17,17,,334,17016,38,-5,2.79,R2.5,29.5,
Noxon Rapids,335,35,879,Avista Corporation,Line 18,187,2018,1,18,18,,335,4156,65,0,0.8,R1.5,53.6,
Noxon Rapids,336,35,879,Avista Corporation,Line 19,187,2018,1,19,19,,336,260,55,0,1.89,S2,32,
0,336,35,,Avista Corporation,Line 20,187,2018,1,20,20,,Subtotal,198135,0,0,0,,0,
0,0,35,,Avista Corporation,Line 22,187,2018,1,22,22,,Post Falls,,0,0,0,,0,
Post Falls,330,35,872,Avista Corporation,Line 23,187,2018,1,23,23,,330,2908,75,0,2.81,R3,25.2,
Post Falls,331,35,872,Avista Corporation,Line 24,187,2018,1,24,24,,331,3734,110,-20,2.09,R2,45.6,
Post Falls,332,35,872,Avista Corporation,Line 25,187,2018,1,25,25,,332,26438,100,0,1.71,R1,44.7,
Post Falls,333,35,872,Avista Corporation,Line 26,187,2018,1,26,26,,333,2234,65,-10,2.42,R1.5,29.6,
Post Falls,334,35,872,Avista Corporation,Line 27,187,2018,1,27,27,,334,1239,38,-5,2.78,R2.5,18.2,
Post Falls,335,35,872,Avista Corporation,Line 28,187,2018,1,28,28,,335,743,65,0,1.15,R1.5,42.1,
Post Falls,336,35,872,Avista Corporation,Line 29,187,2018,1,29,29,,336,578,55,0,1.96,S2.5,26.2,
0,336,35,,Avista Corporation,Line 30,187,2018,1,30,30,,Subtotal,37874,0,0,0,,0,
0,0,35,,Avista Corporation,Line 32,187,2018,1,32,32,,Long Lake,,0,0,0,,0,
Long Lake,330,35,876,Avista Corporation,Line 33,187,2018,1,33,33,,330,418,75,0,4.42,R3,11,
Long Lake,331,35,876,Avista Corporation,Line 34,187,2018,1,34,34,,331,8769,110,-20,1.99,R2,38.9,
Long Lake,332,35,876,Avista Corporation,Line 35,187,2018,1,35,35,,332,36239,100,0,1.65,R1,40,
Long Lake,333,35,876,Avista Corporation,Line 36,187,2018,1,36,36,,333,8738,65,-10,2.46,R1.5,33.3,
Long Lake,334,35,876,Avista Corporation,Line 37,187,2018,1,37,37,,334,3228,38,-5,2.63,R2.5,22.5,
Long Lake,335,35,876,Avista Corporation,Line 38,187,2018,1,38,38,,335,790,65,0,1.22,R1.5,39.4,
Long Lake,336,35,876,Avista Corporation,Line 39,187,2018,1,39,39,,336,678,55,0,1.89,S2.5,26.2,
0,336,35,,Avista Corporation,Line 40,187,2018,1,40,40,,Subtotal,58860,0,0,0,,0,
0,0,35,,Avista Corporation,Line 42,187,2018,1,42,42,,Little Falls,,0,0,0,,0,
Little Falls,330,35,874,Avista Corporation,Line 43,187,2018,1,43,43,,330,4217,100,0,3.35,R4,24.4,
Little Falls,331,35,874,Avista Corporation,Line 44,187,2018,1,44,44,,331,3703,110,-20,1.94,R2,42.3,
Little Falls,332,35,874,Avista Corporation,Line 45,187,2018,1,45,45,,332,5165,100,0,1.72,R1,43.6,
Little Falls,333,35,874,Avista Corporation,Line 46,187,2018,1,46,46,,333,34779,65,-10,2.4,R1.5,33.6,
