record_id_eia,record_id_ferc1,signature_1,notes
1004_ca_2019_plant_prime_mover_total_15470,f1_steam_2019_12_144_3_1,OIU,
6018_2019_plant_total_55729,f1_steam_2019_12_178_0_1,OIU,
2706_st_2019_plant_prime_mover_total_3046,f1_steam_2019_12_17_0_1,OIU,
6014_2019_plant_total_3046,f1_steam_2019_12_17_1_4,OIU,
2706_gt_2019_plant_prime_mover_total_3046,f1_steam_2019_12_17_2_2,OIU,
2707_gt_2019_plant_prime_mover_total_3046,f1_steam_2019_12_17_2_3,OIU,
3250_1_2019_plant_gen_total_3046,f1_steam_2019_12_17_3_3,OIU,
8042_2019_plant_total_5416,f1_steam_2019_12_45_0_1,OIU,
2718_2019_plant_total_5416,f1_steam_2019_12_45_0_3,OIU,
2723_6_2019_plant_gen_total_5416_retired,f1_steam_2019_12_45_1_2,OIU,
6036_2019_plant_owned_5416,f1_steam_2019_12_45_3_2,OIU,
2720_ca_2019_plant_prime_mover_total_5416,f1_steam_2019_12_45_3_5,OIU,
2723_ct8_2019_plant_gen_total_5416,f1_steam_2019_12_45_4_1,OIU,
624_2019_plant_total_6455,f1_steam_2019_12_55_1_1,OIU,
627_2019_plant_total_6455,f1_steam_2019_12_55_1_3,OIU,
6046_10_2019_plant_gen_total_6455,f1_steam_2019_12_55_1_4,OIU,
8048_2019_plant_total_6455,f1_steam_2019_12_55_2_4,OIU,
628_3_2019_plant_unit_total_6455,f1_steam_2019_12_55_2_5,OIU,generation and installation years match. But not capacities.
1005_2018_plant_total_15470,f1_hydro_2018_12_144_0_1,OIU,
2720_gt_2018_plant_prime_mover_total_5416_retired,f1_steam_2018_12_45_2_2,OIU,Not much to compare. Goof enough match because of name and installation year
2720_st_2018_plant_prime_mover_total_5416_retired,f1_steam_2018_12_45_2_1,OIU,Not much to compare. Goof enough match because of name and installation year
2727_2018_plant_total_5416,f1_steam_2018_12_45_0_2,OIU,
2732_gt_2018_plant_prime_mover_total_5416_retired,f1_steam_2018_12_45_1_5,OIU,Not much to compare. Goof enough match because of name and installation year
2732_st_2018_plant_prime_mover_total_5416_retired,f1_steam_2018_12_45_1_4,OIU,Not much to compare. Goof enough match because of name and installation year
3264_GT_2018_plant_prime_mover_total_5416,f1_steam_2018_12_45_0_5,OIU,
3264_4_2018_plant_unit_total_5416,f1_steam_2018_12_45_4_2,OIU,Best guess
3265_2018_plant_total_5416,f1_steam_2018_12_45_2_5,OIU,
55116_2018_plant_total_5416,f1_steam_2018_12_45_3_4,OIU,
55412_2018_plant_total_6455,f1_steam_2018_12_55_1_2,OIU,
6038_2018_plant_total_5416,f1_steam_2018_12_45_3_1,OIU,
628_3_2018_plant_unit_total_6455,f1_steam_2018_12_55_0_3,OIU,Looks like unit 4+5 works to match.
628_natural_gas_fired_combined_cycle_2018_plant_technology_total_6455,f1_steam_2018_12_55_0_5,OIU,Looks like Crystal River units 6+7 work to match.
630_2018_plant_total_6455,f1_steam_2018_12_55_2_3,OIU,
638_GT_2018_plant_prime_mover_total_6455,f1_steam_2018_12_55_2_5,OIU,
7277_2018_plant_total_5416,f1_steam_2018_12_45_2_4,OIU,
7302_ca_2018_plant_prime_mover_total_6455,f1_steam_2018_12_55_1_1,OIU,
7345_2018_plant_total_6455,f1_steam_2018_12_55_3_1,OIU,
7699_2018_plant_total_6455,f1_steam_2018_12_55_1_3,OIU,
7981_2018_plant_total_5416,f1_steam_2018_12_45_3_3,OIU,
8049_2018_plant_owned_6455,f1_steam_2018_12_55_2_4,OIU,
2708_st_2018_plant_prime_mover_total_3046_retired,f1_steam_2018_12_17_0_2,OIU,Best guess using name and installation year
2708_ct_2018_plant_prime_mover_total_3046_retired,f1_steam_2018_12_17_3_2,OIU,Best guess using name and installation year
2708_st_2019_plant_prime_mover_total_3046_retired,f1_steam_2019_12_17_0_2,OIU,Best guess using name and installation year
2708_ct_2019_plant_prime_mover_total_3046_retired,f1_steam_2019_12_17_3_2,OIU,Best guess using name and installation year
2716_st_2018_plant_prime_mover_owned_3046_retired,f1_steam_2018_12_17_1_3,OIU,Best guess using name and installation year
2716_gt_2018_plant_prime_mover_total_3046,f1_steam_2018_12_17_3_5,OIU,Best guess using name and installation year
2716_st_2019_plant_prime_mover_owned_3046_retired,f1_steam_2019_12_17_1_3,OIU,Best guess using name and installation year
2716_gt_2019_plant_prime_mover_total_3046,f1_steam_2019_12_17_3_5,OIU,Best guess using name and installation year
2706_2019_plant_total_3046,f1_steam_2019_12_17_4_3,OIU,Not much to compare other than plant name
2712_st_2018_plant_prime_mover_total_3046,f1_steam_2018_12_17_1_1,OIU,
2712_st_2019_plant_prime_mover_total_3046,f1_steam_2019_12_17_1_1,OIU,
6250_2018_plant_total_3046,f1_steam_2018_12_17_0_4,OIU,
6250_2019_plant_total_3046,f1_steam_2019_12_17_0_4,OIU,
2711_2018_plant_total_3046_retired,f1_steam_2018_12_17_3_1,OIU,
2711_2019_plant_total_3046_retired,f1_steam_2019_12_17_3_1,OIU,
6015_2018_plant_total_3046,f1_steam_2018_12_17_1_5,OIU,
6015_2019_plant_total_3046,f1_steam_2019_12_17_1_5,OIU,
1004_st_2018_plant_prime_mover_total_15470_retired,f1_steam_2018_12_144_0_1,OIU,Best guess using name and installation year
1004_st_2019_plant_prime_mover_total_15470_retired,f1_steam_2019_12_144_0_1,OIU,Best guess using name and installation year
1007_2018_plant_total_15470,f1_steam_2018_12_144_0_2,OIU,
1007_2019_plant_total_15470,f1_steam_2019_12_144_0_2,OIU,
1010_2_2018_plant_gen_total_15470_retired,f1_steam_2018_12_144_1_2,OIU,Best guess using capacity
1010_2018_plant_total_15470_retired,f1_steam_2018_12_144_2_1,OIU,No extra information. Just the name.
1010_2_2019_plant_gen_total_15470_retired,f1_steam_2019_12_144_1_2,OIU,
1010_2019_plant_total_15470_retired,f1_steam_2019_12_144_2_1,OIU,
2727_2019_plant_total_5416,f1_steam_2019_12_45_0_2,OIU,
3264_3_2018_plant_unit_total_5416,f1_steam_2018_12_45_0_4,OIU,No extra information. Just the name.
3264_3_2019_plant_unit_total_5416,f1_steam_2019_12_45_0_4,OIU,No extra information. Just the name.
3264_7_2019_plant_gen_total_5416,f1_steam_2019_12_45_0_5,OIU,
2732_st_2019_plant_prime_mover_total_5416_retired,f1_steam_2019_12_45_1_4,OIU,Best guess using name and installation year
2732_gt_2019_plant_prime_mover_total_5416_retired,f1_steam_2019_12_45_1_5,OIU,Best guess using name and installation year
2720_st_2019_plant_prime_mover_total_5416_retired,f1_steam_2019_12_45_2_1,OIU,Best guess using name and installation year
2720_gt_2019_plant_prime_mover_total_5416_retired,f1_steam_2019_12_45_2_2,OIU,Best guess using name and installation year
3265_2019_plant_total_5416,f1_steam_2019_12_45_2_5,OIU,
6038_2019_plant_total_5416,f1_steam_2019_12_45_3_1,OIU,
628_1_2018_plant_unit_total_6455,f1_steam_2018_12_55_0_2,OIU,
7277_2019_plant_total_5416,f1_steam_2019_12_45_2_4,OIU,Best match. Though better matches 2018 value.
3251_conventional_steam_coal_2018_plant_technology_owned_3046_retired,f1_steam_2018_12_17_0_5,OIU,Match based on name and installation year. No capacity info from FERC.
3251_nuclear_2018_plant_technology_total_3046,f1_steam_2018_12_17_2_1,OIU,0
3251_gt_2018_plant_prime_mover_total_3046_retired,f1_steam_2018_12_17_2_4,OIU,Best guess using name and installation year
3251_conventional_steam_coal_2019_plant_technology_total_3046_retired,f1_steam_2019_12_17_0_5,OIU,
3251_nuclear_2019_plant_technology_total_3046,f1_steam_2019_12_17_2_1,OIU,
3251_gt_2019_plant_prime_mover_total_3046_retired,f1_steam_2019_12_17_2_4,OIU,Best guess using name and installation year
58212_2018_plant_total_5416_retired,f1_steam_2018_12_45_2_3,OIU,
58212_2019_plant_total_5416_retired,f1_steam_2019_12_45_2_3,OIU,
7538_2018_plant_total_3046,f1_steam_2018_12_17_4_1,OIU,
7538_2019_plant_total_3046,f1_steam_2019_12_17_4_1,OIU,
55110_2018_plant_total_15470,f1_steam_2018_12_144_2_2,OIU,
55110_2019_plant_total_15470,f1_steam_2019_12_144_2_2,OIU,
7981_2019_plant_total_5416,f1_steam_2019_12_45_3_3,OIU,
58215_2019_plant_total_3046,f1_steam_2019_12_17_3_4,OIU,
2713_2018_plant_total_3046_retired,f1_steam_2018_12_17_1_2,OIU,
58697_2018_plant_total_3046,f1_steam_2018_12_17_2_5,OIU,
2713_2019_plant_total_3046_retired,f1_steam_2019_12_17_1_2,OIU,
58697_2019_plant_total_3046,f1_steam_2019_12_17_2_5,OIU,
55224_2018_plant_total_15470,f1_steam_2018_12_144_1_1,OIU,
55224_2019_plant_total_15470,f1_steam_2019_12_144_1_1,OIU,
2832_6_2018_plant_gen_total_3542_retired,f1_steam_2018_12_178_0_2,OIU,
2832_6_2019_plant_gen_total_3542_retired,f1_steam_2019_12_178_0_2,OIU,
7158_2018_plant_total_55729,f1_steam_2018_12_178_0_3,OIU,
7158_2019_plant_total_55729,f1_steam_2019_12_178_0_3,OIU,
55116_2019_plant_total_5416,f1_steam_2019_12_45_3_4,OIU,
7805_2018_plant_total_3046,f1_steam_2018_12_17_4_2,OIU,
7805_2019_plant_total_3046,f1_steam_2019_12_17_4_2,OIU,
634_2018_plant_total_6455,f1_steam_2018_12_55_0_4,OIU,
634_2019_plant_total_6455,f1_steam_2019_12_55_0_1,OIU,
55111_2018_plant_owned_15470,f1_steam_2018_12_144_2_5,OIU,
55111_2019_plant_owned_15470,f1_steam_2019_12_144_2_5,OIU,
638_gt_2019_plant_prime_mover_total_6455,f1_steam_2019_12_55_2_2,OIU,
7699_2019_plant_total_6455,f1_steam_2019_12_55_0_5,OIU,
55412_2019_plant_total_6455,f1_steam_2019_12_55_0_4,OIU,
628_6_2019_plant_unit_owned_6455,f1_steam_2019_12_55_0_2,OIU,Looks like Crystal River units 6+7 work to match.
7302_ca_2019_plant_prime_mover_total_6455,f1_steam_2019_12_55_0_3,OIU,
630_2019_plant_total_6455,f1_steam_2019_12_55_1_5,OIU,
8049_2019_plant_total_6455,f1_steam_2019_12_55_2_1,OIU,
7345_2019_plant_total_6455,f1_steam_2019_12_55_2_3,OIU,
3264_4_2019_plant_unit_total_5416,f1_steam_2019_12_45_4_2,OIU,Best guess
63063_2019_plant_total_5416,f1_steam_2019_12_45_4_3,OIU,
2710_2018_plant_total_3046,f1_gnrt_plant_2018_12_17_0_1,OIU,
2710_2019_plant_total_3046,f1_gnrt_plant_2019_12_17_0_1,OIU,
2736_2018_plant_total_5416,f1_gnrt_plant_2018_12_45_0_10,OIU,
2741_2018_plant_total_5416,f1_gnrt_plant_2018_12_45_0_2,OIU,
2741_2019_plant_total_5416,f1_gnrt_plant_2019_12_45_0_2,OIU,
2743_2018_plant_total_5416,f1_gnrt_plant_2018_12_45_0_4,OIU,
2743_2019_plant_total_5416,f1_gnrt_plant_2019_12_45_0_3,OIU,
2745_2018_plant_total_5416,f1_gnrt_plant_2018_12_45_0_5,OIU,
6438_2018_plant_total_5416,f1_gnrt_plant_2018_12_45_0_8,OIU,
6438_2019_plant_total_5416,f1_gnrt_plant_2019_12_45_0_4,OIU,
3258_4_2018_plant_gen_total_5416,f1_gnrt_plant_2018_12_45_0_6,OIU,Best guess. Seems like it's a combination of Gaston Shoals 6 (2.5MW) and 2 other 1.4 MW Gaston Shoals plants
2751_2018_plant_total_5416,f1_gnrt_plant_2018_12_45_0_9,OIU,
2751_2019_plant_total_5416,f1_gnrt_plant_2019_12_45_0_5,OIU,
2746_2018_plant_total_5416,f1_gnrt_plant_2018_12_45_0_7,OIU,
2719_2018_plant_total_5416,f1_hydro_2018_12_45_0_1,OIU,
2719_2019_plant_total_5416,f1_hydro_2019_12_45_0_1,OIU,
2730_2018_plant_total_5416,f1_hydro_2018_12_45_0_2,OIU,Best guess. Names match but capacities don't
2730_2019_plant_total_5416,f1_hydro_2019_12_45_0_2,OIU,
2729_2018_plant_total_5416,f1_hydro_2018_12_45_0_3,OIU,
2729_2019_plant_total_5416,f1_hydro_2019_12_45_0_3,OIU,
2726_2018_plant_total_5416,f1_hydro_2018_12_45_0_4,OIU,
2726_2019_plant_total_5416,f1_hydro_2019_12_45_0_4,OIU,
2728_2018_plant_total_5416,f1_hydro_2018_12_45_0_5,OIU,
2728_2019_plant_total_5416,f1_hydro_2019_12_45_0_5,OIU,
2722_2018_plant_total_5416,f1_hydro_2018_12_45_1_1,OIU,
2722_2019_plant_total_5416,f1_hydro_2019_12_45_1_1,OIU,
3271_2018_plant_total_5416,f1_hydro_2018_12_45_1_2,OIU,
3271_2019_plant_total_5416,f1_hydro_2019_12_45_1_2,OIU,
3257_2018_plant_total_5416,f1_hydro_2018_12_45_1_3,OIU,"Best guess. Capacities don't match, but names and generation do."
3257_2019_plant_total_5416,f1_hydro_2019_12_45_1_3,OIU,
3259_2018_plant_total_5416,f1_hydro_2018_12_45_1_4,OIU,
3259_2019_plant_total_5416,f1_hydro_2019_12_45_1_4,OIU,
3256_2018_plant_total_5416,f1_hydro_2018_12_45_1_5,OIU,
3256_2019_plant_total_5416,f1_hydro_2019_12_45_1_5,OIU,
3266_2018_plant_total_5416,f1_hydro_2018_12_45_2_1,OIU,
3255_2018_plant_total_5416,f1_hydro_2018_12_45_2_2,OIU,
3255_2019_plant_total_5416,f1_hydro_2019_12_45_2_2,OIU,
3272_2018_plant_total_5416,f1_hydro_2018_12_45_2_4,OIU,
3272_2019_plant_total_5416,f1_hydro_2019_12_45_2_4,OIU,
6517_2018_plant_total_5416,f1_hydro_2018_12_45_3_1,OIU,
6517_2019_plant_total_5416,f1_hydro_2019_12_45_3_1,OIU,
2750_2018_plant_total_5416,f1_hydro_2018_12_45_3_2,OIU,
2750_2019_plant_total_5416,f1_hydro_2019_12_45_3_2,OIU,
2747_2018_plant_total_5416,f1_hydro_2018_12_45_3_3,OIU,
2747_2019_plant_total_5416,f1_hydro_2019_12_45_3_3,OIU,
2749_2018_plant_total_5416,f1_hydro_2018_12_45_3_4,OIU,
2749_2019_plant_total_5416,f1_hydro_2019_12_45_3_4,OIU,
2714_2018_plant_total_3046,f1_hydro_2018_12_17_0_2,OIU,
2714_2019_plant_total_3046,f1_hydro_2019_12_17_0_2,OIU,
2715_2018_plant_total_3046,f1_hydro_2018_12_17_0_3,OIU,
2715_2019_plant_total_3046,f1_hydro_2019_12_17_0_3,OIU,
3262_2018_plant_total_5416,f1_pumped_storage_2018_12_45_0_1,OIU,"Capacities not exact match, but names and installation years do."
3262_2019_plant_total_5416,f1_pumped_storage_2019_12_45_0_1,OIU,"Capacities not exact match, but names and installation years do."
7125_2018_plant_total_5416,f1_pumped_storage_2018_12_45_0_2,OIU,"Capacities not exact match, but names and installation years do."
7125_2019_plant_total_5416,f1_pumped_storage_2019_12_45_0_2,OIU,"Capacities not exact match, but names and installation years do."
10773_2018_plant_owned_19876,f1_steam_2018_12_186_0_1,,
10774_2018_plant_owned_19876,f1_steam_2018_12_186_3_2,,
10_gt_2018_plant_prime_mover_owned_195,f1_steam_2018_12_2_1_2,,
1109_2018_plant_owned_19436,f1_hydro_2018_12_177_0_2,,
113_1_2018_plant_unit_owned_803,f1_steam_2018_12_7_0_1,,
113_3_2018_plant_unit_owned_803,f1_steam_2018_12_7_0_2,,
114_2018_plant_owned_803,f1_steam_2018_12_7_2_4,,
116_1_2018_plant_unit_owned_803,f1_steam_2018_12_7_0_5,,
116_2_2018_plant_unit_owned_803,f1_steam_2018_12_7_1_1,,
116_gt1_2018_plant_gen_owned_803,f1_steam_2018_12_7_3_3,,
116_gt2_2018_plant_gen_owned_803,f1_steam_2018_12_7_3_4,,
117_1_2018_plant_unit_owned_803,f1_steam_2018_12_7_5_1,,
117_2_2018_plant_unit_owned_803,f1_steam_2018_12_7_5_2,,
118_gt1_2018_plant_gen_owned_803,f1_steam_2018_12_7_2_5,,
118_gt2_2018_plant_gen_owned_803,f1_steam_2018_12_7_3_1,,
118_ge1_2018_plant_gen_owned_803,f1_steam_2018_12_7_3_2,,
1239_2018_plant_owned_5860,f1_steam_2018_12_51_0_2,,
1239_ST_2018_plant_prime_mover_owned_5860_retired,f1_steam_2018_12_51_0_1,,
1240_1_2018_plant_unit_owned_10005,f1_steam_2018_12_80_0_2,,
1240_GT_2018_plant_prime_mover_owned_10005,f1_steam_2018_12_191_0_2,,
1241_1_2018_plant_unit_owned_10000,f1_steam_2018_12_79_2_3,,
1241_2_2018_plant_unit_owned_10000,f1_steam_2018_12_79_2_4,,
1241_1_2018_plant_unit_owned_10005,f1_steam_2018_12_80_0_3,,
1241_2_2018_plant_unit_owned_10005,f1_steam_2018_12_80_0_4,,
1241_2018_plant_total_10000,f1_steam_2018_12_79_2_5,,
1242_2018_plant_owned_10005,f1_steam_2018_12_80_0_1,,
1248_IC_2018_plant_prime_mover_owned_22500,f1_steam_2018_12_191_1_2,,
124_2018_plant_owned_24211,f1_steam_2018_12_176_1_1,,
1250_2018_plant_owned_22500,f1_steam_2018_12_191_1_5,,
1252_1_2018_plant_gen_owned_22500_retired,f1_steam_2018_12_191_0_1,,
126_GT_2018_plant_prime_mover_owned_24211,f1_steam_2018_12_176_0_5,,
126_1_2018_plant_unit_owned_24211,f1_steam_2018_12_176_0_1,,
1353_1_2018_plant_unit_owned_22053,f1_steam_2018_12_81_0_1,,
170_2018_plant_owned_814,f1_steam_2018_12_8_0_1,,
1725_2018_plant_owned_5109,f1_steam_2018_12_44_4_2,,
1728_2018_plant_owned_5109,f1_steam_2018_12_44_3_4,,
1729_GT_2018_plant_prime_mover_owned_5109,f1_steam_2018_12_44_3_5,,
1730_2018_plant_owned_5109,f1_steam_2018_12_44_3_1,,
1733_st_2019_plant_prime_mover_total_5109,f1_steam_2019_12_44_0_4,CG,
1733_ic_2019_plant_prime_mover_total_5109,f1_steam_2019_12_44_4_4,CG,
1733_IC_2018_plant_prime_mover_owned_5109,f1_steam_2018_12_44_4_4,CG,
1733_st_2018_plant_prime_mover_total_5109,f1_steam_2018_12_44_0_4,CG,
1733_ic_2004_plant_prime_mover_total_5109,f1_steam_2004_12_44_5_1,CG,
1733_st_2004_plant_prime_mover_total_5109,f1_steam_2004_12_44_0_5,CG,
1733_ic_2017_plant_prime_mover_total_5109,f1_steam_2017_12_44_4_4,CG,
1733_st_2017_plant_prime_mover_total_5109,f1_steam_2017_12_44_0_4,CG,
1733_ic_2016_plant_prime_mover_total_5109,f1_steam_2016_12_44_4_4,CG,
1733_st_2016_plant_prime_mover_total_5109,f1_steam_2016_12_44_0_4,CG,
1733_ic_2015_plant_prime_mover_total_5109,f1_steam_2015_12_44_5_1,CG,
1733_st_2015_plant_prime_mover_total_5109,f1_steam_2015_12_44_0_5,CG,
1733_ic_2014_plant_prime_mover_total_5109,f1_steam_2014_12_44_5_1,CG,
1733_st_2014_plant_prime_mover_total_5109,f1_steam_2014_12_44_0_5,CG,
1733_st_2013_plant_prime_mover_total_5109,f1_steam_2013_12_44_0_5,CG,
1733_ic_2013_plant_prime_mover_total_5109,f1_steam_2013_12_44_5_1,CG,
1733_st_2012_plant_prime_mover_total_5109,f1_steam_2012_12_44_0_5,CG,
1733_ic_2012_plant_prime_mover_total_5109,f1_steam_2012_12_44_5_1,CG,
1733_ic_2011_plant_prime_mover_total_5109,f1_steam_2011_12_44_5_1,CG,
1733_st_2011_plant_prime_mover_total_5109,f1_steam_2011_12_44_0_5,CG,
1733_ic_2010_plant_prime_mover_total_5109,f1_steam_2010_12_44_5_1,CG,
1733_st_2010_plant_prime_mover_total_5109,f1_steam_2010_12_44_0_5,CG,
1733_ic_2009_plant_prime_mover_total_5109,f1_steam_2009_12_44_5_1,CG,
1733_st_2009_plant_prime_mover_total_5109,f1_steam_2009_12_44_0_5,CG,
1733_ic_2008_plant_prime_mover_total_5109,f1_steam_2008_12_44_5_1,CG,
1733_st_2008_plant_prime_mover_total_5109,f1_steam_2008_12_44_0_5,CG,
1733_ic_2007_plant_prime_mover_total_5109,f1_steam_2007_12_44_5_1,CG,
1733_st_2007_plant_prime_mover_total_5109,f1_steam_2007_12_44_0_5,CG,
1733_ic_2006_plant_prime_mover_total_5109,f1_steam_2006_12_44_5_1,CG,
1733_st_2006_plant_prime_mover_total_5109,f1_steam_2006_12_44_0_5,CG,
1733_ic_2005_plant_prime_mover_total_5109,f1_steam_2005_12_44_5_1,CG,
1733_st_2005_plant_prime_mover_total_5109,f1_steam_2005_12_44_0_5,CG,
1734_2018_plant_owned_5109,f1_steam_2018_12_44_1_4,,
1735_2018_plant_owned_5109,f1_steam_2018_12_44_4_5,,
1737_2018_plant_owned_5109,f1_steam_2018_12_44_1_5,,
1739_2018_plant_owned_5109,f1_steam_2018_12_44_2_1,,
1740_IC_2018_plant_prime_mover_owned_5109,f1_steam_2018_12_44_4_3,,
1740_3_2018_plant_unit_owned_5109,f1_steam_2018_12_44_1_1,,
1741_2018_plant_owned_5109,f1_steam_2018_12_44_5_1,,
1743_GT_2018_plant_prime_mover_owned_5109,f1_steam_2018_12_44_3_3,,
1743_1_2018_plant_unit_owned_5109,f1_steam_2018_12_44_1_2,,
1744_2018_plant_owned_5109,f1_steam_2018_12_44_2_4,,
1745_2018_plant_owned_5109,f1_steam_2018_12_44_1_3,,
1746_2018_plant_owned_5109,f1_steam_2018_12_44_5_2,,
1769_2018_plant_owned_20847,f1_steam_2018_12_193_1_1,,
2050_2018_plant_owned_12685,f1_steam_2018_12_100_0_2,,
2076_2018_plant_owned_5860,f1_steam_2018_12_51_0_3,,
2079_2_2018_plant_unit_owned_10000,f1_steam_2018_12_79_0_3,,
2079_GT_2018_plant_prime_mover_owned_10000,f1_steam_2018_12_79_0_4,,
2080_1_2018_plant_gen_owned_10000_retired,f1_steam_2018_12_79_0_1,,
2081_2019_plant_total_10000,f1_steam_2019_12_79_2_1,AS,
2081_2018_plant_total_10000,f1_steam_2018_12_79_2_1,CG,
2081_2017_plant_total_10000,f1_steam_2017_12_79_2_1,CG,
2081_2016_plant_total_10000,f1_steam_2016_12_79_2_1,CG,
2081_2015_plant_total_10000,f1_steam_2015_12_79_2_1,CG,
2081_2014_plant_total_10000,f1_steam_2014_12_79_2_1,CG,
2081_2013_plant_total_10000,f1_steam_2013_12_79_2_1,CG,
2081_2012_plant_total_10000,f1_steam_2012_12_79_2_1,CG,
2081_2011_plant_total_10000,f1_steam_2011_12_79_2_1,CG,
2081_2010_plant_total_10000,f1_steam_2010_12_79_2_1,CG,
2081_2009_plant_total_10000,f1_steam_2009_12_79_1_4,CG,
2081_2008_plant_total_10000,f1_steam_2008_12_79_1_4,CG,
2081_2007_plant_total_10000,f1_steam_2007_12_79_1_4,CG,
2081_2006_plant_total_10000,f1_steam_2006_12_79_1_4,CG,
2081_2005_plant_total_10000,f1_steam_2005_12_79_1_4,CG,
2081_2004_plant_total_10000,f1_steam_2004_12_79_1_5,CG,
2082_2018_plant_owned_19436,f1_steam_2018_12_177_1_4,,
2083_2018_plant_owned_19436,f1_steam_2018_12_177_1_3,,
2090_2018_plant_owned_56211,f1_steam_2018_12_182_1_1,,
2092_2018_plant_owned_56211,f1_steam_2018_12_182_0_2,,
2094_1_2018_plant_gen_owned_56211_retired,f1_steam_2018_12_182_0_1,,
2098_1_2018_plant_gen_owned_56211,f1_steam_2018_12_182_1_3,,
2098_GT_2018_plant_prime_mover_owned_56211,f1_steam_2018_12_182_1_4,,
2103_2018_plant_owned_19436,f1_steam_2018_12_177_0_1,,
2104_GT_2018_plant_prime_mover_owned_19436,f1_steam_2018_12_177_2_4,,
2104_1_2018_plant_unit_owned_19436,f1_steam_2018_12_177_0_4,,
2107_2018_plant_owned_19436,f1_steam_2018_12_177_0_2,,
210_2018_plant_owned_10005,f1_steam_2018_12_80_1_1,,
210_2018_plant_owned_10000,f1_steam_2018_12_79_2_2,,
2442_4_2018_plant_unit_owned_803,f1_steam_2018_12_7_0_3,,
2442_5_2018_plant_unit_owned_803,f1_steam_2018_12_7_0_4,,
2442_2018_plant_owned_24211,f1_steam_2018_12_176_0_3,,
2451_2018_plant_owned_24211,f1_steam_2018_12_176_1_2,,
26_4_2019_plant_unit_total_195,f1_steam_2019_12_2_0_5,CG,
26_4_2018_plant_unit_total_195,f1_steam_2018_12_2_0_5,CG,
26_4_2015_plant_unit_total_195,f1_steam_2015_12_2_0_5,CG,
26_4_2014_plant_unit_owned_195,f1_steam_2014_12_2_0_5,CG,
26_4_2013_plant_unit_total_195,f1_steam_2013_12_2_0_5,CG,
26_4_2012_plant_unit_total_195,f1_steam_2012_12_2_0_5,CG,
26_4_2011_plant_unit_total_195,f1_steam_2011_12_2_0_5,CG,
26_4_2010_plant_unit_total_195,f1_steam_2010_12_2_0_5,CG,
26_4_2009_plant_unit_total_195,f1_steam_2009_12_2_0_5,CG,
26_5_2008_plant_gen_total_195,f1_steam_2008_12_2_0_5,CG,
26_5_2007_plant_gen_total_195,f1_steam_2007_12_2_0_5,CG,
26_5_2006_plant_gen_total_195,f1_steam_2006_12_2_0_5,CG,
